,store_name,address,tel,category,star,detail,visit_review,blog_review,image
10,공원보리밥,대구 달서구 두류공원로 261,None,보리밥,3.06,None,17,3,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181120_199%2F15426747850431G355_JPEG%2F4gRsRESXNIxnUUV6jzdN_po8.jpg
11,주도락,대구 수성구 지범로 287-1,None,"맥주,호프",None,None,5,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38382944%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063072958%26md%3Db0HSjkBIaorl9HqsAUDxl3Oi95Q%253D
12,None,None,None,None,None,None,None,None,None
13,리스본,대구 수성구 청수로 103,053-765-0301,요리주점,None,None,4,1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTA0MDRfMjIw%2FMDAxNTU0MzcyMDU3NDI3.9HSWtwUs3xBKAP_EcohqVGbRuJ9HQLjvnrhquk6t0DAg.Amz9h9dqSv45Tpt5PsTMoYEwgU9UkL1nK7Jy6vY8xRcg.JPEG.mgs4737%2FIMG_5052.
14,None,None,None,None,None,None,None,None,None
15,None,None,None,None,None,None,None,None,None
16,None,None,None,None,None,None,None,None,None
17,커피명가 경대병원점,대구 중구 동덕로 130 중앙정원휴게소 푸드코트 1층,053-200-6457,카페,4.25,None,290,4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEyMjdfMjI2%2FMDAxNjA5MDM0NjEwMzky.oBhKYT7K--QKE2YpMc09ItQ1AM6BSptzKeWnLnrblOEg.Nn7kH0eloJnqVbXNMdeTzzI2CU_WbYfeWZTt4XeKX7Qg.JPEG.wndp2023%2FIMG_7204.
18,None,None,None,None,None,None,None,None,None
19,스타벅스 동성로광장점,대구 중구 동성로 4,1522-3232,카페,4.54,1. 주차불가능,"3,186",85,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
20,None,None,None,None,None,None,None,None,None
21,None,None,None,None,None,None,None,None,None
22,서순자손수제비,대구 달성군 화원읍 비슬로516길 54,None,한식,4.52,None,641,68,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTEyMDRfMTEy%2FMDAxNjM4NTkyMzk1OTc4.N5uFP3lTlEBpWWmh4c5sjVyXpth3fdYGOGw1pqKqzeYg.VMWGNwVASaucE1M6V4mhkybFBpylXg1YOldiEq87Oy8g.JPEG.jk_choice%2Foutput_2520271783.jpg
23,None,None,None,None,None,None,None,None,None
24,None,None,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None,None,None
26,낙원떡집,대구 서구 달서로54길 7,053-357-2426,"떡,한과",None,None,None,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F13510683%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063131394%26md%3DqC8RcJ8NsRAd1kQDgF%252FXiixmrcg%253D
27,왕메기매운탕식당,대구 남구 대명로14길 108,053-622-0329,"매운탕,해물탕",None,"얼큰하며 시원한 메기매운탕과
매콤하게 입맛이 땡기는 메기찜 전문점입니다.
올 겨울 보양식은 메기매운탕과 메기찜으로 즐기세요.",67,14,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200326_60%2F1585184607179LSiP9_JPEG%2F9PV5Bwyn4zlJ7BPJWRvdjBvf.jpg
28,대림다방,대구 수성구 들안로 235,053-765-3385,다방,None,None,None,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_94%2F1589498792088IwP7n_JPEG%2F-WYwfei4y1GPhongHXfa7IPq.jpg
29,None,None,None,None,None,None,None,None,None
30,샌디버블,대구 남구 중앙대로49길 38 1층 샌디버블,0507-1312-4066,샌드위치,4.66,"<샌디버블은 '온누리 상품권' 협약업체로 개인/단체주문시에도 '온누리 상품권' 결제가 가능하니 현금처럼 편하게 이용하세요^^>

대구시 남구 '문화의 거리'내에 위치한 샌디버블은 2005년 개업후 비교적 저렴한 가격에, 건강하고 신선한 음식을 제공하기 위해 노력하고 있습니다.
남녀노소 누구나 편하게 방문할수 있는 매장이 되겠습니다.^^
샌드위치 메뉴의 단체주문시에도 정성껏 만들어 드리니 많은 이용 부탁드립니다~~^^",274,37,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160108_275%2F1452228695580FulaX_JPEG%2F176058538150571_0.jpeg
31,마장동뒷고기,대구 서구 국채보상로46길 69,053-563-3773,"육류,고기요리",None,None,4,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38393455%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063154784%26md%3DL%252FcziCB%252BlqA74gf3JBS0HSwFvQ4%253D
32,복돌이식당,대구 남구 명덕로68길 76,053-473-1137,한식,None,None,1,3,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200310_95%2F1583832330495mwix7_JPEG%2F-ueOyGwfkWjq5CjB6Ngjf_6o.jpeg.jpg
33,None,None,None,None,None,None,None,None,None
34,None,None,None,None,None,None,None,None,None
35,시골보리밥,대구 달성군 논공읍 용호로 16,053-615-8851,보리밥,None,None,None,1,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38399629%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063172100%26md%3DmR%252BcbJzHl9MtJa39vwi6Fq1sPck%253D
36,카페머그,대구 중구 덕산동 131-2,053-426-1512,"카페,디저트",4.32,None,319,4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200506_143%2F1588773813383bcbgD_JPEG%2FNt6a0LIvK0SuCSHNvB3sAKq5.jpeg.jpg
37,None,None,None,None,None,None,None,None,None
38,None,None,None,None,None,None,None,None,None
39,None,None,None,None,None,None,None,None,None
40,None,None,None,None,None,None,None,None,None
41,이비가짬뽕 대구범어점,대구 수성구 국채보상로 947,053-744-1107,중식당,4.41,화학조미료를 전혀 쓰지 않는 이비가짬뽕 대구 1호점입니다.,200,69,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_127%2F14410458793064ONR0_JPEG%2F166052487550833_0.jpeg
42,경주복돼지촌 동구점,대구 동구 효신로6길 13,053-742-5237,돼지고기구이,None,None,None,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F16072156%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063203723%26md%3DfIQhAmfXJ1D8QnedP2W5l5hQo%252BY%253D
43,None,None,None,None,None,None,None,None,None
44,None,None,None,None,None,None,None,None,None
45,바니치킨 평리점,대구 서구 통학로 122,053-567-9904,"치킨,닭강정",4.53,None,21,2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA3MDdfMTUg%2FMDAxNTk0MDg1NTU2Mzk0.9flDT5Mc_M9uiuVf7XAIkeYafXwu2qID7Y74AG4n7Wwg.yUKSgNCz7OhPpuLK5PITHRRpBRleWwpQIOEbPb7sCYQg.JPEG.damaskrose52%2FIMG_8992.jpg
46,None,None,None,None,None,None,None,None,None
47,좋은날식당,대구 동구 율하동로23길 19-1 (율하동),None,한식,None,None,None,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F1276580866%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063225234%26md%3DXb%252BmrVuGtARdA1YOAdoYo3LjcWk%253D
48,None,None,None,None,None,None,None,None,None
49,None,None,None,None,None,None,None,None,None
50,None,None,None,None,None,None,None,None,None
51,은승다방,대구 동구 동부로 168,053-752-2253,다방,None,None,None,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F16061830%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063238773%26md%3DmQmzhTjG0ZH1dJ9KkXFwAltEI7Q%253D
52,None,None,None,None,None,None,None,None,None
53,대성바베큐식당,대구 중구 달성공원로6길 3,053-564-7472,"육류,고기요리",None,None,8,None,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200624_38%2F1593000308910FMC5l_JPEG%2Fecj66TKdj_dFFDNEp88kpt2N.jpg
54,None,None,None,None,None,None,None,None,None
55,None,None,None,None,None,None,None,None,None
56,None,None,None,None,None,None,None,None,None
57,황토시골집,대구 동구 파계로 604,0507-1355-2048,오리요리,4.34,None,"1,091",648,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170203_67%2F1486101345716L86gS_PNG%2F186153548565308_0.png
58,None,None,None,None,None,None,None,None,None
59,이토,대구 중구 동성로12길 51,053-255-2526,이자카야,None,너무 시끄럽지 않은 조용한 분위기의 이자카야 입니다.,28,14,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211121_153%2F1637476787907nratS_JPEG%2F60A059E3-6719-4BC4-BE21-96CD1BC17566.jpeg
60,None,None,None,None,None,None,None,None,None
61,스몰Beer,대구 북구 동천로 138-24,0507-1313-5868,"맥주,호프",4.62,칠곡 맥주전문점 craft bottle 취급,64,13,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160222_284%2F1456115579434RaFYs_JPEG%2F176172536278270_0.jpeg
62,동양외식,대구 북구 구암로60길 29,053-586-2346,"이벤트,파티",4.09,None,27,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F16077425%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063281870%26md%3DcplVlBoKQz3WxjUh6yFuabSajlc%253D
63,종국이두마리치킨 효목점,대구 동구 아양로52길 77,0504-2015-1982,"치킨,닭강정",4.74,None,64,5,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200211_77%2F1581407520070rDTSl_JPEG%2FG6e9o98INlbHDfhuwXi7Ms1m.jpg
64,None,None,None,None,None,None,None,None,None
65,가야성,대구 달서구 월배로83길 7,053-654-0545,중식당,4.37,"송현동에 위치한 중식당입니다. 중식당임에도 불구하고 배달은 하지 않는다는 것도 특징이지요. 돼지고기와 오징어, 콩나물을 비롯한 야채로 얼큰한 국물을 우려낸 짬뽕이 이 집의 대표 메뉴입니다.

영업시간: 11시부터 8시 50분 까지 주문 가능 전화주문가능.

주차장은 목화주차장에 주차시, 식사 후 도장찍어가면 30분 무료주차입니다.
*목화주차장 주소: 대구시 달서구 송현동 183-62
*중앙요양병원 주차시 본인부담
*연중무휴/ 명절 휴무(설, 추석 3일 휴무)","1,558",670,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150825_269%2F1440480422235NGROg_JPEG%2F166775545720500_0.jpg
66,동변나루,대구 북구 동변로15길 7,053-959-0004,"맥주,호프",None,None,1,1,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F32436687%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063299965%26md%3DfwwYieThzQXip%252BS5oFedNiKZK48%253D
67,먹거리장터,대구 달서구 이곡동로 25,None,"슈퍼,마트",None,None,159,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210330_61%2F1617104608670f8cpy_JPEG%2FMmRCw3kjSaVlg7DHzo2BeP2u.jpg
68,None,None,None,None,None,None,None,None,None
69,새댁김밥 정평하늘채점,경북 경산시 정평길 30 정평역하늘채리버파크 상가,053-802-3669,김밥,4.35,None,78,1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210212_175%2F1613108902842mqieG_JPEG%2FLVe0xtH0_lX7pms4zdgGzR1Y.jpg
70,간이역 매천더휴역점,대구 북구 매전로4길 32 한신더휴 웨스턴팰리스 상가 407호,053-324-7772,요리주점,4.13,None,32,4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200718_230%2F1595051026862kmbaW_JPEG%2FKY-A9yx9zBv2dJ_T6inqQDxe.jpg
71,참한우안동생고기,대구 달서구 상원로 184-8,053-639-3661,소고기구이,4.48,None,68,16,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_125%2F1586052735491w3Kmc_JPEG%2FOFDC2Luur2Miv6dnqjoWAIXS.jpg
72,None,None,None,None,None,None,None,None,None
73,썬더치킨 복현점,대구 북구 경진로1길 43,053-955-8592,"치킨,닭강정",4.6,None,92,10,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191022_254%2F1571707590993zodu6_JPEG%2FbZHBO3nKuwJXTKfxobUu0MjN.jpg
74,None,None,None,None,None,None,None,None,None
75,다사랑식당,대구 달성군 다사읍 달구벌대로 790,None,한식,None,None,17,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F30925551%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063343191%26md%3D7iAQIhv5YIs%252F%252B5g5sheawnr%252BlPw%253D
76,굿모닝살로만치킨,대구 동구 팔공로28길 2,None,"치킨,닭강정",None,None,7,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38397068%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063347318%26md%3DfmL6z4uHQdhnoNnYZR1BwuwfHEA%253D
77,월촌손수제비,대구 달서구 월배로68길 32,053-623-2596,한식,None,None,10,None,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191211_38%2F1576000827962krSWN_JPEG%2FlCurShNh39vdpA_oyVY7oFue.jpg
78,열화루,대구 서구 국채보상로 170,053-572-2522,중식당,4.43,None,156,4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEyMzFfMjMx%2FMDAxNjA5MzkwMTkyNzk4.IXWPqvIxMvD6E7eRCCEyGapxMURbwScKs_pJFTe70zkg.nq8VsK0wmu67cq38uzjGhbCAlKJ5Om5EaJ6rcYQtJ4Ug.JPEG.xoxo8080%2F%25BF%25AD%25C8%25AD%25B7%25E77.jpeg
79,None,None,None,None,None,None,None,None,None
80,미쳐버린파닭 상인점,대구 달서구 송현로7길 19,053-633-0800,"치킨,닭강정",4.61,"영업 시간 : 오전12시~새벽1시

 배달 지역 : 상인동, 진천동, 도원동, 신월성, 대천동, 대곡동, 유천동

찾아주셔서 감사합니다.

미쳐버린파닭은 고객님에게 최고의 맛을 제공하기 위해 끊임없이 노력하고 있습니다.

끊임없는 노력과 다양한 요리연구를 통해 새롭고 차별화된 메뉴를 제공함으로써 브랜드의 가치를

극대화하고 있으며 이를 통한 고객만족을 최우선으로 생각합니다.

앞으로도 고객님들의 변함 없는 관심과 사랑에 보답하기 위해 더 좋은 맛과 서비스를 제공하기 위해

노력하며 고객님의 건강과 행복을 책임진다는 사명감을 갖고 더욱더 발전해 나아가도록 노력 하겠습니다.

또한 모든 메뉴에서 타업체와 동일한 맛이 아닌 차별화된 맛과 품질로 보답해 드리겠습니다.",19,None,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180111_165%2F1515676750329QjkPs_PNG%2F4knXVeDHu2dxXGYDNZ16Ftmz.png
81,None,None,None,None,None,None,None,None,None
82,사계절,대구 달서구 송현로8길 95-4,None,주택,None,None,None,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200322_142%2F1584843931967GaRzM_JPEG%2FKBBElwQ2ZdQSzonpDjABuW-5.jpg
83,None,None,None,None,None,None,None,None,None
84,None,None,None,None,None,None,None,None,None
85,조조칼국수 죽전직영점,대구 달서구 와룡로 169,053-567-3334,"칼국수,만두",4.52,"수성구 범어동 본점과 남구 대명동에 이어 
세번째 <조조칼국수>

조조칼국수 본점의 
생방송투데이 2616회, 20.07.16. 동죽칼국수 방영!!
신선한 동죽 조개의 칼국수와 물총!!
그리고 조조칼국수의 특별한 낙지파전의 매력을 죽전점에서 만나보세요!!","1,487",286,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201210_137%2F1607587920521FEJ8I_JPEG%2FkzYa2sUWZ9nS3njX_U9MD0Av.jpg
86,None,None,None,None,None,None,None,None,None
87,동해식당,대구 중구 동성로 70-26,053-424-4552,한식,None,None,1,2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190124_85%2F1548290758837MYrvn_JPEG%2FzvsNhuzdxp1y0IYBjXtkXQtV.jpg
88,사계절막창,대구 동구 아양로39길 16,None,"곱창,막창,양",None,None,6,2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190416_294%2F1555344822451vSdtb_JPEG%2Fa4oakc6n2e7Vff00lSHrByhN.JPG.jpg
89,None,None,None,None,None,None,None,None,None
90,None,None,None,None,None,None,None,None,None
91,제네시스,대구 북구 대현로19길 76-5,010-3307-0497,장소대여,None,상담필요하신분 연락주세요,1,1,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200122_31%2F1579698121129vaa8G_JPEG%2FSTKRWWzvpxbKbunCld8TlMej.jpg
92,느티나무칼국수&돈까스,대구 남구 이천로1길 84,053-471-8680,"칼국수,만두",4.47,None,223,56,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191130_290%2F1575043011330AiU3S_JPEG%2FqLOpw63yuVnQvlV3fLoUAFtw.jpg
93,삼지식당,대구 수성구 들안로56길 25-6,053-761-1021,한식,None,None,None,None,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_85%2F1592381333493zLnyh_JPEG%2F9X2_6ccr7zbyJExLyjYH0HvY.jpeg.jpg
94,달비어상인점,대구 달서구 상화로 241,053-643-8585,"맥주,호프",3.95,None,12,2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200312_37%2F1583980720514XbdWH_JPEG%2FUVr7AedDcUE80oT-4R6VolVB.jpg
95,캐럿,대구 수성구 수성로64길 5 1층 캐럿,010-5822-0480,브런치,4.41,샌드위치 속 모든 재료들을 항상 직접 정성껏 준비하고 더욱 맛있게 만들기 위해 메뉴 하나하나 주문 즉시 조리하고 있어 메뉴가 준비되는 시간이 조금 오래 걸립니다 여유롭게 즐겨 주시면 감사합니다,25,28,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211228_290%2F1640683622950AhQbA_JPEG%2FEE9F0FF7-D5C4-422B-9BD0-64C24FF7D007.jpeg
96,None,None,None,None,None,None,None,None,None
97,토담순두부,대구 북구 동암로12길 23-5,053-311-1266,한식,4.13,None,160,14,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190624_158%2F1561349068051pbpwf_JPEG%2F02Ia84YC9RckhnV-hyS2v7WU.jpg
98,서민회수산,대구 달성군 현풍읍 비슬로 616-1,053-617-0606,생선회,4.28,None,25,1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190327_76%2F1553667031624u62Be_JPEG%2FfUaQObTrqQOBtqCeJz2Gm5_A.jpg
99,None,None,None,None,None,None,None,None,None
100,None,None,None,None,None,None,None,None,None
101,고운가든,대구 동구 동부로22길 85,053-753-8878,"육류,고기요리",4.21,None,74,3,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190925_69%2F1569376039683NQDtL_JPEG%2F6zn9h9oRT1O8w7RFCMmKYoK9.jpg
102,시골장터돼지국밥,대구 서구 서대구로62길 100,053-357-8614,국밥,None,None,9,1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2F20150817_203%2Fjjuanga_1439773668276z99eq_JPEG%2FIMG_4283.
103,None,None,None,None,None,None,None,None,None
104,None,None,None,None,None,None,None,None,None
105,종국이두마리치킨 논공점,대구 달성군 논공읍 논공로17길 20-4,053-611-9948,"치킨,닭강정",4.47,None,41,3,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200806_186%2F1596687587104gi8B6_JPEG%2FWmbYAgNSzxWdlGDF5KhQEzsS.jpeg.jpg
106,None,None,None,None,None,None,None,None,None
107,None,None,None,None,None,None,None,None,None
108,None,None,None,None,None,None,None,None,None
109,None,None,None,None,None,None,None,None,None
110,None,None,None,None,None,None,None,None,None
111,None,None,None,None,None,None,None,None,None
112,도쿠도쿠야 대구점,대구 달성군 옥포읍 돌미상업로 10 엘리트빌딩 101호,053-615-3020,이자카야,4.11,None,18,12,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170906_278%2F1504629459501tQaX2_JPEG%2FIDMo_VWJLVc1xM4jePZMbSVG.jpg
113,None,None,None,None,None,None,None,None,None
114,티바두마리치킨 대곡점,대구 달서구 명천로10길 3,053-633-0044,"치킨,닭강정",4.42,"특허받은 마늘치킨명가, 티바두마리치킨!

순살까지도 100% 국내산 닭고기를 사용하여
신선하고 깨끗한 재료 본연의 맛을 내기 위해
무슨일이 있더라도 주문과 동시에 조리됩니다.

양도 굿! 맛도 굿! 가격도 굿! 가성비는 티바두마리치킨♥
한마리가 부족할 땐! 티바두마리치킨!",25,2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220429_269%2F1651223259525EWwjN_JPEG%2F220414-%25B9%25E8%25B4%25DE%25BE%25DB-%25BD%25E6%25B3%25D7%25C0%25CF-%25B3%25D7%25C0%25CC%25B9%25F6%25B8%25CA.jpg
115,None,None,None,None,None,None,None,None,None
116,카펠리체이시아폴리스점,대구 동구 팔공로51길 31-5,053-982-4929,카페,4.33,None,41,2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200506_76%2F1588770897774LxFsR_JPEG%2F3tH1Xhl0Gz2ly_GxtjgNmHuw.jpg
117,국수명가,대구 남구 고산2길 35-3,053-471-9751,국수,None,None,7,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210802_233%2F1627883978677uBe92_JPEG%2FgweHGjFXHxZ6-egcVxH5X5E9.jpg
118,꿀삐닭강정 대구상동점,대구 수성구 들안로9길 45,053-283-8838,"치킨,닭강정",None,"전화번호 : 053-283-8838
영업시간 : 월-일 (12:00~24:00)
(15000원이상 배달가능) 
호프좌석분리로 꿀삐상동점에서는 두가지 분위기를 즐기실수있습니다.",6,4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2F20160428_183%2Fsmk2802_14618333202373VDv7_JPEG%2FP20160426_221817050_0B70128F-A3C2-4E97-88DE-8CC3312E6C5A.
