,store_name,address,tel,category,star,detail,visit_review,blog_review,tag,image,review_sum
2873,원앤온리,제주 서귀포시 안덕면 산방로 141,0507-1323-6186,카페,4.34,"'전 세계 단 한곳뿐인 뷰와 분위기를 품다'
제주에서 가장 길고 고요한 황우치해변을 홀로 품고 명승 산방산을 지붕삼은 유일한 곳
명실상부 독보적인 제주 여행 필수코스로 자리매김한
원앤온리에서 가장 특별한 여행을 완성해주세요!",9006,4511,"커피 맛집, 분위기 있는, 파릇파릇한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201005_225%2F1601865215887jYtMC_JPEG%2Fnc1rfIzUxa7gppjd0ESG2fOx.jpg,13517
1979,델문도,제주 제주시 조천읍 조함해안로 519-10,064-702-0007,"카페,디저트",4.35,"제주도 함덕의 로스터리 카페 델문도입니다.
함덕서우봉해변의 에메랄드빛 바다를 품고 있어, 맛있는 음료와 함께 아름다운 풍경도 감상하실 수 있습니다.
1박2일 제주도편 촬영지로도 유명하며^-^ , 현재 WBC(World Barista Championship)의 대표 에스프레소 머신인, 빅토리아 아르두이노 VA388 Black Eagle로 맛있는 커피를 제공하고 있습니다. (특히 델문도에서 보유하고 있는 SEATTLE 버전은 세계 60여대 밖에 없는 리미티드 에디션입니다!!)",15032,4325,"커피 맛집, 분위기 있는, 기분 전환",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160826_163%2F1472178646647JxGxw_JPEG%2F176776516063874_2.jpeg,19357
8278,이춘옥원조고등어쌈밥,제주 제주시 애월읍 일주서로 7213,0507-1402-9914,쌈밥,4.62,"당신의 의미있는 시간을 이곳에서 사용하기로 결정한 선택에 깊이 감사드립니다
완벽한 시간으로 기억되도록 맛있는 음식과 미소로 보답하겠습니다 항상 최선을 다해 노력하겠습니다 감사합니다",10147,3951,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190620_278%2F15610040523553bL8W_JPEG%2FORwGoQRCKhvBm_qU_fmcAXG_.JPG.jpg,14098
14436,형제도식당,제주 서귀포시 일주서로 915,064-738-3407,"해물,생선요리",4.66,"형제도식당본점 중문으로 이전했어요
※통갈치 요리를 보다 저렴한 가격에 다양하고 맛있게 즐기실수 있도록

해물 통갈치조림 + 통갈치구이 SET를 이용하시면
갈치의 모든것!! 
갈치회.갈치튀김.통갈치 조림과 구이를 모두 즐기실수 있습니다.",1359,3830,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220315_207%2F1647334043728SIOuB_JPEG%2F4%25C0%25CE%25BC%25BC%25C6%25AE.jpg,5189
7776,그랜드 하얏트 제주,제주 제주시 노연로 12 그랜드 하얏트 제주 | 제주 드림타워 복합리조트,1533-1234,5성급,4.47,"제주드림타워와 함께 그랜드 하얏트 제주는 1,600개의 올 스위트 객실, 14개의 레스토랑과 바, 8층 풀데크, 38층 스카이데크를 비롯해
K 패션 쇼핑몰, 2개의 스파, 마이스(MICE, 국제회의 및 각종 전시회, 박람회 관련 산업) 등 매머드급 시설을 갖추고 있습니다.
라스베이거스 및 싱가포르, 마카오에서나 볼 수 있는 월드클래스 수준의 복합리조트입니다.",1394,3563,"분위기 있는, 기분 전환",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220314_59%2F164724634549413wjs_JPEG%2FDSC00483_%25B3%25D7%25C0%25DA%25B8%25AE_%25C0%25CF%25B7%25C3_%25B9%25F8%25C8%25A3.1.jpg,4957
1283,제주오성 갈치조림 제주도 중문 본점,제주 서귀포시 중문관광로 27 제주오성 갈치조림 제주도 중문 본점,0507-1315-3120,"해물,생선요리",4.67,"* 아침식사 가능
* 중문단지 내 픽업서비스(사전예약)
* 키즈룸 완비, 단체 손님 수용 가능
* 식당 앞 넓은 주차 공간

안녕하세요. 제주오성 대표 변두환입니다.

고품격 제주향토음식전문점,
저희 제주오성은 서귀포시 공식 인증
46년 전통 가업을 잇는 제주 대표 향토 식당입니다.

어머니께서 36년간 운영을 해오셨던 제주오성을
아들인 제가 37년째부터 계승하여,
2대째 이어가고 있습니다.

제주 토속음식의 전통과 명맥을 이어가며,
제주를 오롯이 담은 제주오성의 명맥을
앞으로도 계속 이어가려고 합니다.

@ 제주오성의 자랑, '제주다움'
1) 제주산 특대은갈치
모든 갈치조림, 갈치구이 요리에 들어가는
갈치는 청정 제주 바다에서 어획한
'특대은갈치'만을 선별해서 사용합니다.
두툼한 한 입, 꽉 찬 속살!
살집이 실한 명품 은갈치의 맛을
제대로 느끼실 수 있습니다.

2) 엄선한 제주 제철 식재료와 제주어멍 손맛
메인 요리뿐만 아니라
모든 반찬들까지!
제주의 산과 들, 바다가 길러낸
제주만의 제철 식재료만 엄선해 사용합니다.

메인 갈치요리에 들어가는
제주산 갈치부터,

마농지, 제철 생채무침 등
고춧가루가 과하지 않고
된장과 간장 위주 양념을 쓰는
전통 조리법을 살린 반찬류

모든 정식 메뉴에 들어가는
빙떡에 쏠라니(옥돔)
관혼상제에 빠지지 않는 제주메밀로
만든 빙떡과 옥돔구이 등등..

여기에 옹골진 손맛,
넉넉한 인심을 담아 제주의 참맛을 더해
맛, 그 이상의 감동을 전하고 있습니다.

해녀할망부터 외식업 외길을 걸어온
제주어멍의 손맛을 잇는 진정한
향토식당의 맛을 느끼실 수 있으실거에요!

3. 제주 전통 공예품에 담긴 한상차림
저희 제주오성에서 사용하는 모든 식기류는
차롱, 옹기, 느티나무밥주걱 등
제주 전통 공예품을 사용합니다.
아름다운 한상차림!

앞으로도 제주오성은 제주인들의 생활 속에
살아 숨쉬는 민속 공예를 쓰임으로
지켜가려 합니다.

손님 한분 한분에게 정성을 다해
꼭 다시 찾고 싶은 맛집!
부모님, 자녀 동반 가족 여행객 손님들, 연인, 친구
그 누구와 오시더라도
전통 제주의 맛과 제주다움을 전하고
미소로 기억되는 제주오성이 되겠습니다. ^^

감사합니다.",5344,3447,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220513_72%2F1652404460266wy7RA_JPEG%2F797ECF0A-F529-4F57-9704-4CBC7A80D6A2.jpeg,8791
6756,장인의집,제주 제주시 애월읍 애월로19길 31,0507-1313-1610,"칼국수,만두",4.38,'테이블링' 어플 다운로드하시면 더 편리하게 이용할 수 있습니다,4314,3432,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191013_157%2F1570962538482MBPTz_JPEG%2F5xnGw8sj-haBBUPoH9mrs4lm.JPG.jpg,7746
3464,롯데호텔 제주,제주 서귀포시 중문관광로72번길 35 롯데호텔 제주,064-731-1000,5성급,4.57,"제주도 최초로 인증 받은 5성 호텔
푸른 제주 바다와 하늘이 맞닿은 곳에 위치한 롯데호텔 제주는 천국 같은 휴식과 여행의 즐거움을 동시에 누릴 수 있는 대한민국 대표 호텔이다. 제주의 따뜻한 바다를 닮은 사계절 온수풀 '해온(海溫)', 멀티 놀이공간 '플레이토피아', 헬로키티 캐릭터 룸과 풀빌라 스위트 룸, 연회장을 비롯해 미식 여행의 진수를 선사할 레스토랑까지 다채로운 시설들을 보유하고 있다.

2020년 6월, 새롭게 오픈한 제주 최대 규모 올데이 다이닝 레스토랑 '더 캔버스'는 총 600여평의 공간에 420석의 규모, 5개의 프라이빗 스위트룸과 푸른 바다가 펼쳐진 오션뷰 전망을 자랑한다. 특히 팜 투 테이블(Farm to table)을 테마로 신선한 제주 식재료를 활용한 시그니처 메뉴를 뷔페와 일품요리로 한 곳에서 맛볼 수 있다. 어린이를 위한 키즈 스테이션은 업계 최초 다이닝 프로젝션 맵핑 기술을 도입하여 온 가족이 즐거운 식사를 즐길 수 있다.

이 외에도 롯데호텔 제주는 레저 전문 엔터테이너 'ACE(ACTIVE&CREATIVE ENTERTAINER)'와 함께 어린이를 위한 키즈캠프, 쿠킹 클래스부터 가족을 위한 야외 프로그램을 다양하게 제공한다. 호텔 속 꿈의 놀이터 '키즈월드', '키즈랩'과 2019년 12월 신규 오픈한 국내호텔 최대규모 '플레이토피아'는 익스트림 어린이 스포츠 클럽 챔피언 R, 패밀리 락볼링장, VR체험&아케이드존으로 구성되어 가족 단위 고객에게 특별한 추억을 선사하고 있다.

V SPA에서는 프리미엄 안티에이징 스파 '발몽'과 프랑스 No.1 해양성 코스메틱 브랜드 '딸고' 테라피의 격조높은 휴식과 서비스를 경험할 수 있으며, 시즌에 따른 각종 패키지와 호텔 이벤트를 마련하여 호텔을 찾는 많은 고객에게 색다른 추억을 간직할 수 있는 기회를 제공하고 있다.",1413,3424,기분 전환,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200304_220%2F15832861516981scxR_JPEG%2FRvviqbxBuxKy9HimJNTJZphn.jpg,4837
7926,제주광해 애월,제주 제주시 애월읍 애월해안로 867 2층,0507-1312-4789,향토음식,0,항상 신선한 재료와 정성을 다하는 제주도 갈치조림 맛집 제주광해애월본점입니다.,3940,3420,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20220520_243%2F1653034558952WU9Yw_JPEG%2F06b746f2-d815-11ec-abd9-d4f5ef5a9532_03.jpg,7360
14641,해송수산물회센타,제주 제주시 애월읍 애월로11길 23,010-7147-1662,생선회,0,"히밥세끼 제주도편에 소개되었습니다. 방문해주셔서 감사합니다.

홀은 10시30분까지, 회포장은 11시까지 운영

2017년도 제주도 횟집 중 유일하게 소비자만족대상을 수상한 맛집입니다. 소비자만족대상은 위생과 맛, 인지도 등을 평가하여 시상을 하는데, 제주도 횟집 중에서는 대표로 이 상을 수상하였습니다.

회코스에서 골드코스 이상은 랍스타가 나옵니다. 2인이상이면 관계없이 코스로 드실 수 있어서 경제적인 식사가 가능합니다. 

스끼다시는 계절에 맞는 해산물만 사용하기 때문에 사진과는 달라질 수 있습니다. 

스끼다시가 제주도에서 제일 잘나옵니다. 1차로 밑반찬, 게장, 고등어회 갈치회 다양한 해물까지가 나오고, 2차로 메인회, 3차로 따뜻한 음식(튀김, 구이류), 4차로 매운탕이 나옵니다.

애월에서 가장 큰 횟집입니다. 100명이 한번에 식사하실 수 있습니다. 

주차공간은 널널합니다.

다른 어느업체보다 깨끗한 위생, 서비스가 돋보이는 업체입니다. 

제주도 3대 횟집 중에 하나입니다. 

애월 카페 거리랑도 걸어서 5분이기 때문에 식사한 후에 카페에 들리기도 좋습니다.

오전 11시 ~ 오후 23시까지 영업하십니다.

수요일은 오후 3시 오픈합니다.",655,3335,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220620_223%2F16557235845720rdGp_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6.jpg,3990
16536,춘심이네 본점,제주 서귀포시 안덕면 창천중앙로24번길 16,064-794-4010,"해물,생선요리",4.45,"오전 10:30 ~오후 8:00 (마지막 주문)

※갈치재고 소진 또는 웨이팅이 많을 경우 조기마감 될수 있습니다.※",3874,3296,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170420_142%2F1492669745170hI7cL_JPEG%2F186370555924049_0.jpeg,7170
3377,봄날,제주 제주시 애월읍 애월로1길 25,0507-1494-4999,"카페,디저트",0,"애월 한담해변에서 가장 먼저 생긴
한담해변1호카페
봄날카페
자세한 내용은 블로그 및 홈페이지를 방문해주세요.",5778,3222,"커피 맛집, 기분 전환",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170714_25%2F1500005488422zRPfP_JPEG%2F186664534146680_0.jpeg,9000
17376,카페 노티드 제주,"제주 제주시 애월읍 애월로1길 24-9 1,2층",0507-1362-9377,카페,4.46,"안녕하세요. 노티드 제주애월점 입니다. 
네이버 주문은 매장 상황에 따라 오픈되며 주문 시 당일픽업(영업시간 내)으로 운영되오니 참고부탁드립니다. 감사합니다",10852,3136,"디저트 맛집, 분위기 있는",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210508_79%2F1620441810111GWwcr_JPEG%2F6EeXT6lINNmJk4zsKcZ2KK_G.jpeg.jpg,13988
15141,동문올레수산,제주 제주시 관덕로14길 10,064-752-5657,생선회,4.26,"제주도맛집으로 정평난 동문올레수산(식당) 입니다.

제주의 싱싱한 해물들을 맛볼 수 있고 향토음식도 함께 즐길 수 있습니다.

제주공항과 가까운 거리인 동문시장 내에 위치하고 있어 제주공항근처맛집 이라 불리우고 있습니다.(차량 10분거리)

저렴한 가격으로 회를 즐길 수 있다는것이 큰 장점입니다.(포장가능)

제주여행시 필히 들려도 좋을만한 음식점입니다.

9:00~22:00 운영시간으로 아침식사도 가능합니다.

일식집 12년 경력 사장님이 운영하는 제주도맛집입니다.",5476,3130,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160211_21%2F1455194354197twwGT_JPEG%2F176161616932781_0.jpeg,8606
13952,가시아방국수,제주 서귀포시 성산읍 고성리 528,064-783-0987,국수,4.34,"- 브레이크타임 없음
< 쉬운 대기등록 방법 >
매장 방문없이 어플 '예써'에서 대기등록 가능합니다
매일 예상 대기시간 및 실시간 대기현황을 어플상에서 확인하시고 오시는길에 각자의 일정에 맞춰 자유롭게 대기등록을 하시면 오래 기다리지 않습니다",2761,3111,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200229_44%2F15829084400162GWml_JPEG%2FAGCPWwYGaFMbmyW2Bd9h57WD.jpg,5872
3165,제주곰집,제주 서귀포시 이어도로 703-4,0507-1305-6002,돼지고기구이,4.54,"안녕 하세요! 30년 요리경력의 정셰프가 운영하는 제주곰집입니다. 
저희 제주곰집에서는 신선한 고기와 여러 해산물을 그날그날 준비 하여 손님상에 올리고 있습니다.
고기의 육질과 해산물의 시선함은 최고라 자부하고 있습니다. 흑돼지 고기는 제주도의 자랑이라 할수있는데
그중에서도 제일 좋은 특 품질의 돼지고기를 제공해드립니다 저희 제주곰집 많은 이용부탁드립니다 
최고 보다는 최선을 다하는 고깃집 제주곰집이 되겠습니다 ^^ --- 제주곰집 일동 ---",2169,2963,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200516_204%2F1589602141483mDciH_JPEG%2FJWo0XK3fRm1izpkbXgs2RmVV.jpg,5132
2636,고이정본점 보리짚불구이,제주 제주시 애월읍 애월로 6,0507-1350-0401,돼지고기구이,4.61,"숙성흑돼지를 제주보리볏짚에 구워 더욱 맛있어요
tip. 테이블링 어플다운 고이정 검색 원격대기 하세요
현장대기입력시 대기시간이 있습니다 .",4308,2918,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210810_195%2F1628603030100iAYJT_JPEG%2FwnpuqfeLVdrm1JjkU6s8hiCd.jpeg.jpg,7226
11541,신창풍차해안도로,제주 제주시 한경면 신창리 1481-23,None,드라이브,0,None,0,2905,기분 전환,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzExMTZfMTI0%2FMDAxNTEwODIzNTIzNjIx.uGnf5tE4LTiY1WOL2l5B6f3BuuHQ7E8XUVDBwLQodvsg.u7Re8UKAsoLVjUJCyZShzgxWXIylFZTEp-ahqNwqQ9kg.JPEG.nailstan%2FDSC_0397.jpg,2905
