,store_name,address,tel,category,star,detail,visit_review,blog_review,review_sum,tag,image
1324,김유순대구뽈찜,부산 남구 진남로 15,051-627-4319,"해물,생선요리",4.42,None,2926,1001,3927,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200107_170%2F15783671366145ncSp_JPEG%2FNMBhxnfH0-qjJ8rdalsHQDag.jpg
1356,애슐리퀸즈 NC서면점,부산 부산진구 동천로 92 NC서면점 5층,0507-1489-7301,패밀리레스토랑,4.08,"다채로운 샐러드바에 정통 미국식 스테이크까지
200가지 메뉴로 만나는 월드 와이드 뷔페

모든 빈티지 컨셉의 세련되고 캐쥬얼한 공간에서 즐기는 신선한 샐러드바와 즉석 그릴바.
화덕에서 갓구운 피자와 진하고 풍성한 파스타에 오픈키친에서 즉성제공되는 샐러드와 달콤한 디저트까지",2743,911,3654,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160324_123%2F1458793285124vFhuc_JPEG%2F176271503456575_0.jpeg
1072,영진돼지국밥 본점,부산 사하구 하신번영로157번길 39,0507-1374-3820,국밥,4.54,주차는 건물 뒷편 전용주차장이 있습니다.,2711,929,3640,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190609_87%2F15600688014348k9LC_JPEG%2FsZ7ynYE6Kpl21gUTuv9tv3ey.jpg
1199,더파티 센텀점,부산 해운대구 센텀중앙로 79 센텀사이언스파크 지하 1층,051-711-7770,뷔페,4.31,※ 영업안내 : 수요일 ~ 일요일 정상영업,2327,1051,3378,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210107_275%2F16099801337196YqL6_JPEG%2FSOL_9330.jpg
1437,모스버거 광복롯데점,부산 중구 중앙대로 2 지하 1층,051-678-4148,햄버거,4.49,"모스버거는 100% 호주산 쇠고기 패티와 100% 국내산 생야채, 국내 공장에서 생산한 번과 소스를 사용하며 주문과 동시에 조리하는 애프터 오더(After Order) 방식을 통해 ‘정성을 담은 버거’ 제공을 모토로 하고 있습니다. 갓 만든 온기와 정성을 전하겠습니다.",3111,248,3359,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190319_148%2F1552986192478xzB87_PNG%2F9wBsjD9dhiLRd1lVN2VpM46y.png
988,쿠우쿠우 부산화명점,부산 북구 금곡대로 287 15층,051-364-0303,"일식,초밥뷔페",4.4,"안녕하세요.
쿠우쿠우 부산화명점입니다.
항상 신선한 초밥과 다양한 음식으로 즐거움을 선사하겠습니다.

만차시에는 롯데마트에 주차하시고 주차한 사진,사설주차장은 영수증 보여주시면 음식값에서 5%할인해 드립니다~~^^",2328,688,3016,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181024_19%2F154037382269102Bn1_JPEG%2F2.jpg
4276,빕스 센텀시티홈플러스점,부산 해운대구 센텀동로 6 홈플러스센텀시티점 2층.,0507-1353-8997,패밀리레스토랑,4.36,"* 샐러드 바 마감은 21:00입니다.
 샐러드 바 마감 시간은 상황에 따라 변경 될 수 있습니다.
* 좌석은 선착순으로 안내가 되어 지정 예약석으로
 안내가 불가할 수 있으니 양해 부탁드립니다.",2516,220,2736,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210811_59%2F1628674540031R6G9n_PNG%2F%25BA%25F7%25BD%25BA.png
3182,본참치,부산 중구 해관로 73,051-463-3737,생선회,4.48,"2007년 9월에 10평 남짓한 공간에서 시작된 저희 본참치는 소중한 고객님들의 관심과 애정으로 그간 세번의 확장이전을 거쳐 현재 전국 각지의 참치매니아들이 찾아주시는 대한민국을 대표하는 참치 풀코스 요릿집으로 자리매김 하였습니다.
전국적으로 생겨난 유사상호 본참치들과의 차별화를 위하여 2016년부터 이정태본참치로 상호를 보완하여 영업하고 있습니다.
대한민국 조리기능장인 오너셰프의 까다로운 기준으로 선별한 신선한 참치를 매일아침 공수하여 당일소진 시키는것을 원칙으로 과학적인 해동과 숙성을통해
잠재되어있는 마지막 1%의 맛까지 끌어내기위해 노력하고 있습니다.
저희 이정태본참치는 체인점이 없습니다.",1652,984,2636,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181120_213%2F1542681908719u2DCd_JPEG%2FfO2yZ47gBiHJyNwbGK0ItuOq.jpg
1779,도날드,부산 영도구 꿈나무길 267 부산 영도구 꿈나무길 267,051-413-9990,떡볶이,4.38,"안녕하십니까. 저희 도날드 즉석떡볶기는 떡볶이 전문점으로 찾아주시는 고객분께 저희 도날드즉석떡볶기만의 맛을 전해 드리고자 노력하고 있습니다. 음식의 맛은 무엇보다도 음식재료의 품질과 음식조리에 있을 것입니다. 저희 도날드즉석떡볶기는 늘 엄선된 음식재료만을 사용하여 고객 여러분께 믿고 신뢰할 수 있는 음식이 될 수 있도록 하고 있으며, 어머니의 손맛과도 같은 정갈한 음식조리로써 고객 여러분께 행복의 맛을 전해 드리려 하고 있습니다. 타 매장과는 다른 저렴한 음식값으로 부담없이 저희 매장에 오실 수 있도록 배려하고 있습니다. 오시는 고객 여러분께 보답하고자 항상 최선을 다하는 서비스를 제공하겠습니다. 맛의 진미를 저희 도날드즉석떡볶기에서 느껴보세요. 고객 여러분께 친절한 미소를 잃지 않는 도날드즉석떡볶기가 될 것을 약속드립니다. 감사합니다.",1272,1337,2609,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220615_213%2F1655275863746QHrtu_JPEG%2F%25C7%25F6%25C0%25E7%25C0%25C7%25B5%25B5%25B3%25AF%25B5%25E5.jpg
1905,배비장보쌈구서본점,부산 금정구 금정로 239,051-515-2106,"족발,보쌈",4.43,"부산 대표 30여년 전통의 구서동 톨게이트에서 바로 나오면 있는 보쌈집이다. 
세트메뉴가 다양하다. 모둠보쌈은 보쌈, 오훈제, 한치무침, 빈대떡 등이 포함되어 있다. 고기는 부드럽고 김치와 무채는 쫄깃하다. 반찬으로 나오는 계란찜이 맛있다.",2151,393,2544,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171025_177%2F1508899194217GmJHx_JPEG%2F30M81C0ADu6YmFg_VNnS77mi.jpg
4695,배스킨라빈스 부산태화점,부산 부산진구 중앙대로692번길 22,051-802-2032,아이스크림,4.5,매장 홀은 22:00마감이며 포장은 23:00까지 가능합니다,2366,56,2422,디저트 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190207_263%2F1549518073913VHxxg_JPEG%2FWzOVG98BAb-9oaMe84QYeDV3.jpg
1284,일광당,부산 기장군 일광면 일광로 125-1 은혜사진실,051-724-0039,만두,4.47,"일광에서 유일하게 주인이 손으로 직접 빚어만드는 찐빵과 만두로 지역민이 선호하는 일광맛집입니다
만두뿐만 아니라 찐빵도 정말로 정성스럽게 대접하는 일광당 많이 찾아주세요
직접 손수 빚어 만들기 때문에 어디에서도 느껴보실 수 없는 진정한 맛을 느끼시도록
항상 최선을 다하겠습니다 ^_^
 
* 찐빵골목 입구에 잠시주차가능",2026,386,2412,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190326_1%2F1553593304761WY5sz_JPEG%2FKq5xzQeGvYeh__BkseL2o6Uo.jpg
3984,웨스틴조선부산 까밀리아,부산 해운대구 동백로 67 로비층,0507-1348-7434,뷔페,4.62,계절별 신선한 식재료로 만든 다양한 요리를 맛볼수 있는 뷔페 까밀리아 입니다.,1660,719,2379,"분위기 있는, 든든한, 기분 전환",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170221_285%2F14876403497569WzAE_JPEG%2F___%25281%2529.jpg
1913,광안리길수횟집,부산 수영구 민락수변로 103 밀레니엄프라자,0507-1358-5369,생선회,0,"코스요리가 일품인 생선회 전문 길수횟집입니다.
무한리필 상품의 경우, 아침까지만해도 바다에서놀던 싱싱한 활어회를 무한리필로 배부를때까지 드실 수 있으시구요.

코스메뉴에도 냉동이 아닌 싱싱한 생물 해물로 밑반찬을 준비하는데요.
새우, 고동, 문어, 개불, 멍게, 굴, 신선한 전복과 산낙지까지 푸짐한 제철 해물들이 나옵니다~ 매일매일 바로잡아 싱싱한 자연산 회를 맛보신 후 얼큰한 매운탕으로 마무리할 수 있습니다^^",659,1591,2250,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220517_135%2F1652771894178gQCC2_JPEG%2FKakaoTalk_20220516_103121183_03.jpg
4783,던킨 부산역라마다점,"부산 동구 중앙대로196번길 10 (초량동) 104호,205호,206호",051-469-1211,도넛,4.49,던킨 부산역라마다점입니다. 네이버 스마트주문에서 간편하게 주문하세요!,2175,45,2220,디저트 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200307_292%2F1583545394459FNbnG_JPEG%2FQtjdOlFObk0XPPP8ydjRJTGP.jpeg.jpg
2988,배스킨라빈스 경성대,부산 남구 용소로 9,051-624-0212,아이스크림,4.52,None,2178,34,2212,디저트 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190207_263%2F1549518073913VHxxg_JPEG%2FWzOVG98BAb-9oaMe84QYeDV3.jpg
446,해운대초량밀면,부산 해운대구 구남로 20,051-731-2885,국수,4.26,None,1385,809,2194,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180205_263%2F1517817572939UYG9t_PNG%2F7FUhvlXH0DXHEL02OEgKBkZW.png
3517,외식1번가 서부산점,부산 사상구 농산물시장로 36 외식1번가,051-324-5757,"육류,고기요리",4.41,현재 부산에 대형 매장들을 운영하고 있는 숯불 갈비 외식 전문점입니다.,1926,249,2175,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211213_59%2F1639365999917GdDYu_JPEG%2FDSC01215-1.jpg
4675,롯데리아 덕천점,부산 북구 덕천1길 26,051-337-8242,햄버거,4.43,None,2043,44,2087,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2F20140603_34%2Fkeyhunter7_1401786661362iSwkV_JPEG%2F2014-06-02_20.44.29.jpg
2272,그집곱도리탕 본점,부산 중구 충장대로5번길 56-2,051-807-5564,한식,4.41,"부산 원조 곱도리탕 전문점 맛집 그집곱도리탕 본점입니다.
※한시적으로 곱도리탕 반조리 포장이 가능합니다※

7월11일 부터 갑상선 결절 제거 수술 입원으로 인해
잠시동안 휴무 입니다. 7월 21일에 재오픈 예정입니다.",681,1380,2061,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201015_71%2F1602760929013VT3fb_JPEG%2FMF-2jRtbzV7PylhCVJz38GLQ.JPG.jpg
2493,KFC 부산지오21,부산 부산진구 동천로 4 지오플레이스,051-818-2913,햄버거,4.37,None,1992,58,2050,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA3MTNfMjc0%2FMDAxNDk5OTI3NzkzNDMz.6YdCKqr0fMAHDRGUe7mhj6NDAea-S5qj4Rw4q66EdkMg.aOJwpaojXLwJhbfNbVmjKTcgzkrx9jKVNfvVgyFJ9JEg.JPEG.sang820930%2F20170710_222322.jpg
3188,진국명가 온천천점,부산 동래구 온천천로 361 대방빌딩,051-525-5535,한식,4.31,"점심특선(AM11:30-PM4:00_주말,공휴일 포함) 이용 시 식사를 무료로 제공 해드리고 있습니다.",1709,299,2008,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211213_81%2F1639362723955bJ9Xh_JPEG%2FDSC01428.
487,스톤스트리트 남포점,부산 중구 광복중앙로24번길 9 스톤스트리트,051-254-7736,양식,4.61,4/26(화)스톤스트리트 광안비치점(2호점) 오픈 부산 수영구 광안해변로 145 051.622.7736,1124,883,2007,"데이트, 분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_290%2F1647872855782slqBL_JPEG%2FResized_1646224493831-4.jpeg
381,백구당,부산 중구 중앙대로81번길 3,051-465-0109,베이커리,4.42,부산에서 아주 오래된 빵집. 세련되지는 않으나 옛날스러운 맛으로 향수를 느끼는 사람들이 많이 찾는다. 50여 년의 역사를 자랑한다.,1672,318,1990,디저트 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200326_60%2F1585203525781b9odM_JPEG%2FmuqZtZ9rnkmBrlFJYmqzLQ_T.jpg
518,롯데리아 부산역점,부산 동구 중앙대로 201 행운예식장,051-466-7070,햄버거,4.29,None,1805,38,1843,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200514_287%2F15894232216837IXiU_JPEG%2F5RE2kSGnIDD6HTv4lVPeKF_m.jpg
4145,빽다방 부산서면교육센터점,부산 부산진구 중앙대로680번가길 9,051-808-7439,테이크아웃커피,4.41,10:00 오픈 20:30마감,1544,139,1683,커피 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200726_16%2F15957291231397W9HR_JPEG%2F-mwXxgSbrqb_A9S695Q9ja-L.jpg
596,원조소문난칼국수,부산 동래구 온천장로119번길 3,051-554-9106,"칼국수,만두",4.41,"30여년 전통의 칼국수 전문점입니다. 멸치 육수에 호박과 김가루, 양념장을 올려만든 칼국수와 칼국수면으로 만든 짜장면이 인기 메뉴입니다. 매콤새콤한 양념을 올린 비빔 칼국수도 반응이 좋지요. 만두국 백반과 비빔밥, 짜장밥 등의 밥 메뉴도 준비되어 있습니다.",1530,121,1651,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220318_17%2F16475757861144bAVg_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5_%25281%2529.jpg
1772,도담도담식빵 서면NC점,부산 부산진구 서전로 35 1층 서면도담도담식빵,0507-1498-0010,베이커리,4.88,"배달은 매장으로 전화주세요 위의 전화 꾸욱 눌러주세요(매장가격으로 배달됩니다/배송비 별도/3만원 무료배송)
당일 생산, 판매하는 프리미엄 수제 식빵 전문의 서면 전포동 빵집입니다.
서면도담도담식빵은생지를 사용하지 않고 오직 수작업으로 생산하는 정성가득한 빵입니다.
식빵외 파운드, 카스테라, 상투과자, 오렌지,얼그레이, 샤브레쿠키등의 제품들이 구비되어있습니다.
요즘 핫한 전리단길 빵집으로 항상 고객의 건강과 정직한 제품생산에 매진하도록 하겠습니다~
항상 노력하는 마음으로 부산 전포동 빵집으로 인정받는 베이커리, 디저트 매장이 되겠습니다.~
매장내에서 포토 이벤트와 네이버 스마트주문 적립 이벤트가 진행중이오니 
시간을 내시어 내방하시면 친절히 모시도록하겠습니다.^^",1432,191,1623,디저트 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200416_239%2F1587032712528Fa3tY_JPEG%2F%25BD%25A9%25BA%25EA%25B7%25D0_%25C8%25F2%25BB%25F6%25B9%25E8%25B0%25E6.jpg
2087,강원도막국수,부산 기장군 정관읍 정관5로 112,051-728-6000,막국수,4.48,"저희 강원도 막국수 에서는 
우수한 재료를 산지에서 직접 공수하여
맛있고 정성이 깃든 음식으로 찾아오시는 
고객분들에게 항상 최고의 서비스와 최상의 맛을 선사합니다

편안한 식사를 하실수 있도록 
항상 청결하고 위생적인 환경에서 조리하고 있으며
찾아오시는 모든 고객 분들께
다시 방문하고 싶은 곳으로 기억될수 있도록 
최대의 노력을 기울이고 있습니다.

어디에서도 맛 볼수 없는 
최고의 맛과 더불어 
신선한 재료와 정갈한 맛으로
찾아주시는 모든분들께
인정받고 싶습니다,

찾아오셔서 저희 강원도 막국수의
고품격 웰빙음식의 맛을 느껴보시기 바랍니다
감사합니다 .",999,587,1586,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181222_82%2F1545470248778tAcln_JPEG%2FsHKQl7niYXF2K7_EV5U8afuj.jpeg.jpg
4543,리프패럿 정관점,부산 기장군 정관읍 모전2길 20 1층 리프패럿,0507-1304-7959,동물카페,4.58,"앵무새를 가까이서 보고 교감할 수 있는 체험카페입니다.
오랜 경험을 바탕으로한 전문적인 앵무새케어 서비스도 제공하고 있습니다.

소형조부터 대형조까지 앵무새종류가 다양해요!
아이들이 좋아해요!
데이트코스로도 좋아요!",128,1445,1573,"이색체험, 데이트",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180718_276%2F1531882666668aOkOF_JPEG%2F3zwqE2x8_VbOEdfZHVSe-FcB.jpg
1051,쿠우쿠우 부산 광복점,부산 중구 구덕로 40 3층,051-992-6274,"일식,초밥뷔페",4.42,"고객님~안녕하세요!
쿠우쿠우 부산 광복점입니다.

항상 신선한 초밥과 다양한 즐거움을 선사하기위해
저희 부산광복점 전직원은 최선을 다하겠습니다.

힘든 코로나19 시기에도 찾아주시는 많은 고객님께
진심으로 감사드립니다, 방역관리에 더욱 신경쓰겠습니다.

감사합니다~!!!",1368,148,1516,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220105_25%2F164137066688698AF1_PNG%2F%25C0%25CC%25BF%25EB%25BF%25E4%25B1%25DD172123126.png
1813,홍소족발,부산 중구 광복로 21-2 홍소족발,051-257-2575,한식,4.43,None,1208,250,1458,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA3MTZfMTA3%2FMDAxNjU3OTc4NjgyNzM0.GfUfi9ZYbVwBWlMgNt5p5qAYD-xdS0xUwIkXA-6W2_Qg.Dqp0e4Wnvj17sVEuSMRzEgMk5WxOxG8BiB9jQ4lEMq0g.JPEG.highclass102%2FKakaoTalk_20220713_214352065_07.jpg
