,store_name,address,tel,category,star,detail,visit_review,blog_review,review_sum,image
23187,안스베이커리 롯데백화점 김포공항점,서울 강서구 하늘길 38 김포공항 롯데몰 GF층,02-6116-3058,베이커리,4.4,"건강한 빵을 만드는 대한민국 제과명장의 집, 안스베이커리 입니다.
김포공항 롯데몰 GF층에 위치하고 있는 안스베이커리에서
다양한 종류의 빵과 디저트들을 만나보세요!",9608,293,9901,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200422_278%2F1587533943275ikFTm_JPEG%2F3CfB69Lk8boH5yhpUCCpc1ni.jpg
9804,맥도날드 서울시청점,서울 중구 남대문로9길 51 효덕빌딩,070-7017-0155,햄버거,4.4,None,9539,130,9669,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA1MjJfMjY4%2FMDAxNTkwMTU1MTY1ODUw.dj3QBNcDrTV34MtHubFd4pTPHHFQ5YJvcB26q-k7QsMg.NLW1NSri_yKkZH_GbR3buPnHkZg1g_tjcWLtOQyYc1Yg.JPEG.dkitty%2Foutput_4159231452.jpg
23531,나정순할매쭈꾸미,서울 동대문구 무학로 144,02-928-0231,주꾸미요리,4.45,None,7751,1882,9633,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210422_199%2F1619064088873f13hB_JPEG%2FIW0U9dWcrWKHLmeNbST9vDPV.jpg
27786,공차 엔터6강남점,서울 서초구 신반포로 188,02-6321-6008,차,4.31,None,9610,2,9612,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA1MjZfMjcg%2FMDAxNjUzNTQyNzY4MTg3.p9Cg-Of9TC4JSRX-IqUxkHnWmauRKKhlfrBWlPSQPJwg.KSWhRy8U5atjIqox6i-nqpPli40JUtDJbAloz0xdm1Ig.JPEG.eatlobster%2F20220526%25A3%25DF142535.jpg
16077,예술의전당,서울 서초구 남부순환로 2406,02-580-1300,공연장,4.38,"예술의전당 야외공간은 음악당, 미술관, 오페라하우스 등 각종 문화공간이 유기적으로 연결되어 누구나 쉽게 접근할 수 있는 야외공간입니다. 건물과 건물사이에 아늑한 마당, 한국정원, 분수가 있는 연못 등 자연과 아름다운 음악선율을 만끽할 수 있는 야외 문화공간입니다.

부지 23만 1000m2(7만 1026평),건축연면적 12만 353m2(3만 6407평). 1984년 착공, 1993년 전체 개관. 문화적 주체성을 확립하고 한국문화예술의 국제적 연대성을 높이기 위해 1982년부터 추진되어온 ‘예술의 전당 건립계획’에 따라 세워졌다. 

1988년 1단계(음악당 ·서예관) 개관을 하였고, 나머지는 단계별로 개관하였다. 600억 원의 공사비(한국방송광고공사의 공무자금)로 축제극장 ·음악당 ·미술관 ·자료관 ·교육관 등 예술전반을 수용할 수 있는 실내공간뿐만 아니라, 원형광장 ·만남의 거리 ·전통한국정원 ·야외극장 및 장터 등 옥외공간까지 두루 갖춘 세계적인 수준의 시설이다. 중심이 되는 축제극장은 한국문화의 한 핵심을 이루는 선비정신을 본뜬 갓 모양의 원형건물이고, 음악당은 부채모양으로 설계되었다.",1053,8517,9570,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_156%2F1441007000182w9jAC_JPEG%2F11621559_0.jpg
2589,소문난성수감자탕,서울 성동구 연무장길 45,02-465-6580,감자탕,4.4,None,6806,2596,9402,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191020_166%2F15715629787278M1Hw_JPEG%2FE69ekAleEjpoSsUzvkV3ROyG.jpg
19481,맥도날드 등촌DT점,서울 강서구 양천로 546,070-7017-6526,햄버거,4.41,None,9069,140,9209,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210318_31%2F16160781777561S4f7_JPEG%2FAAcT3WXmqrUTcp49m2mVvK_K.jpg
700,나폴레옹과자점 본점,서울 성북구 성북로 7,02-742-7421,베이커리,4.37,"한 개의 빵을 만들기 위해서는 계량, 반죽(믹싱), 1차발효, 분할, 중간발효, 성형, 2차발효, 오븐에서 굽기등 평균 3~4시간이 소요되는 과정이 필요합니다.

저희 나폴레옹과자점은 미리 만들어 놓은 냉동생지를 이용한 제품을 생산 하지 않고, 직원이 새벽에 출근하여 반죽등을 직접하는 몇 안되는 제과점 중 하나로 빵의 본고장 유럽과 같은 방식으로 최고의 맛을 내기위해 노력합니다.

외부에서 납품 받는 제품없이 나폴레옹과자점에서 판매되는 모든 제품은 저희가 직접 만들고 책임질 수 있는 제품입니다.",7863,1066,8929,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211229_194%2F1640748522538Edqnm_JPEG%2Fkrokant_%25C0%25FA%25BF%25EB%25B7%25AE.jpg
17699,어글리베이커리,서울 마포구 월드컵로13길 73 1층 어글리 베이커리,0507-1306-2018,베이커리,4.34,None,6585,2261,8846,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200811_57%2F1597153851912zTUxD_JPEG%2F7kjSXijOz1qdZJ-rGEJW__vY.jpg
10410,준오헤어 잠실점,서울 송파구 삼전로 102 삼전빌딩 2층 준오헤어,0507-1368-8605,미용실,4.96,"안녕하세요!! 잠실점입니다. 

선과 트라이앵글의 인테리어 컨셉이 있는 곳 다양한 이야깃거리로 고객과 함께 웃으며 스타일을 창조하는 최고의 스타일리스트와 함께 준오헤어 잠실점에서 행복을 만끽하시길 바랍니다.",7495,586,8081,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220710_155%2F1657422566672qQ10B_JPEG%2FKakaoTalk_20220710_100045738.jpg
15230,어글리스토브 신논현강남역점,서울 강남구 강남대로98길 20,02-558-8459,브런치,4.34,"*브런치/스테이크/파스타/필라프/디저트/모히토/와인

* 8인이상 예약 고객님께서는 꼭 매장으로 연락을 주시어 자리 확인을 부탁드립니다. 
 당일에 문제가 되지 않게 꼭 매장에 전화주시어 좌석 확보를 해주세요. 
 (최대 80인 단체 수용 가능 / 2층 단체석)
*네이버 예약은 3시간 전까지만 됩니다. 
 당일 예약은 매장으로 연락을 주시면 되세요.
* 주말예약은 자리지정석제가 아니며, 대기자분들이 있으시면 최우선으로 안내해드리는 예약이며, 2시간 30분 이용시간이 있으니 참고 부탁드립니다.
*건물내 주차장을 운영하지 않고 있습니다. 번거로우시더라도 대중교통을 이용해 주시고, 주차장은 주변 유료주차장을 별도로 이용해 주시기 바랍니다.
* 8인이상 예약 고객님께서는 꼭 매장으로 연락을 주시어 자리 확인을 부탁드립니다. 
 당일에 문제가 되지 않게 꼭 매장에 전화주시어 좌석 확보를 해주세요.",4800,3250,8050,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220517_220%2F16527499834201JdBK_JPEG%2F%25BB%25E7%25C3%25B5%25BD%25AC%25B8%25B2%25C7%25C1.jpg
11335,아웃백스테이크하우스 잠실점,서울 송파구 송파대로 466,02-418-4071,패밀리레스토랑,4.41,"아웃백 스테이크하우스는 전 세계 21개국 1,000여 개 매장을 보유한 세계적인 캐주얼 다이닝 스테이크 레스토랑 브랜드입니다. 호주 대 자연의 아름다움과 따뜻함을 느낄 수 있는 매장 인테리어와 함께 홈메이드 방식으로 조리되는 신선하고 풍부한 메뉴를 만날 수 있습니다. 호주산 소고기만을 사용하는 아웃백의 대표 메뉴 스테이크는 육즙이 풍부하고 부드러운 부위만을 엄선하여 고기가 가장 맛있는 따뜻한 온도의 플레이트 위에 제공하여 최상의 맛을 경험할 수 있도록 합니다.",6985,1041,8026,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201127_152%2F1606458370780ii4Sx_JPEG%2FugJAzcSK3XtCIk8WBuWz9l5Q.jpg
19732,옵스 롯데소공점,서울 중구 남대문로 81 롯데백화점 본점 지하 1층,02-726-4217,베이커리,4.41,None,7535,387,7922,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160112_143%2F145257912368808JED_JPEG%2F176062554223550_0.jpeg
11874,다운타우너 한남,서울 용산구 대사관로5길 12 1층 다운타우너 한남점,0507-1405-3696,햄버거,4.58,Downtown(도시 혹은 시내)에서 유래한 'Downtowner'는 이름에서 느낄 수 있듯 바쁜 도시인들이 빠르고 편하게 즐겨 먹을 수 있는 고품질의 Fast & Premium 수제 버거를 판매하고 있습니다. 또한 수제 맥주와 함께 준비되어 있는 프라이즈 및 치킨 메뉴는 간단한 식사 및 맥주 안주로 즐기실 수 있습니다. 언제든지 방문하시어 맛있는 버거를 즐겨보세요.,4118,3784,7902,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220624_199%2F1656055360659Dx73o_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6_2.jpg
6991,송파파크하비오워터킹덤워터파크&찜질스파,서울 송파구 송파대로 111 202동 지하1층,02-1600-0666,워터파크,4.16,궂은 날씨에도 가족 나들이로 딱! 안전하고 행복한 물놀이를 즐길 수 있는 워터파크와 사우나에 찜질까지 하면 개운함이 두 배! 찜질방에서 편안하고 여유로운 시간을 만나보세요.,7449,439,7888,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180420_173%2F1524209519738HLjci_JPEG%2F_3.jpg
17296,맥도날드 명동점,서울 중구 명동7길 8,070-7017-6404,햄버거,4.39,None,7698,153,7851,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191018_237%2F15713909045576zoAA_JPEG%2FbYXiEskwxvugA7AiYFsY8CCR.jpg
16561,멜팅샵X치즈룸 광화문디타워점,서울 종로구 종로3길 17 광화문 D타워 replace 4층,010-7135-4256,이탈리아음식,4.46,이탈리안과 아메리칸 요리를 위트있는 [멜팅샵]의 메뉴들과 함께 17가지 치즈로 요리하는 [치즈룸]의 다양한 메뉴를 함께 선보입니다.,5521,2291,7812,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210428_24%2F1619605243078LiRuF_PNG%2FgDIyWWHLPLd6wjtZjRawbzTB.png
26096,어니언 성수,서울 성동구 아차산로9길 8 어니언,0507-1386-3238,"카페,디저트",4.41,"이 공간은 1970년대에 처음 지어졌다. 그리고 50여년이 다 되어가는 시간 동안 슈퍼, 식당, 가정집, 정비소, 그리고 공장으로 변형되었다. 때마다 필요에 따라 쓸모없는 부분은 부서졌고, 더해져야 할 부분은 주먹구구식으로 증축되었다. 심미성보다는 활용성을 중심으로 변화한 공간이기에 시간과 함께 공간의 본 모습은 점점 사라져갔다. 

우리는 공간을 탐색하던 중, 과거의 구조 속에서 새것이 줄 수 없는 가치를 발견했다. 바닥에 묻은 페인트 자국, 덧대어진 벽돌 하나하나가 세월을 기억하는 훌륭한 소재였다. 우리는 이 모든 흔적을 살리며 과거의 공간을 다시 재생시키는 것에 집중했다. 과거의 공간이자 동시대적인 공간으로서의 재해석이 필요했다. 

ONION은 분리된 것 같으면서도 유기적으로 연결된 구조를 존중하고, 사용자의 기능을 고려해 신중하게 추가된 소재들로 만들어졌다. 가구 또한 공간의 일부가 될 수 있도록 건축적인 요소를 더해 제작되었다. 함께 공존하는 식물들도 이곳에 늘 있었던 것처럼 익숙한 모습으로 자리해 있다. 

이 공간은 마음을 정화시키는 휴식과 서비스가 존재하는 곳이 될 것이며, 공간을 찾는 이들의 머릿속 소음을 잠재워 줄 안식처가 될 것이다. 우리는 이 장소가 누군가에게는 새로운 삶의 영감을, 누군가에게는 온전한 휴식을 선사하는 곳으로 기억되길 바란다.",3203,4500,7703,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190204_269%2F1549212634045uJAvX_PNG%2FZfpnq_GUADvxtxA8DK6xvfOK.png
10187,강강술래 상계점,서울 노원구 동일로 1628 상계동강강술래,02-935-9233,"육류,고기요리",4.36,"30년 전통 숯불구이의 명가, 강강술래입니다. 가족, 친구와 함께 따뜻한 사랑을 나눌 수 있는 행복한 공간으로 고객님을 초대합니다.",6967,702,7669,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190204_269%2F1549212634045uJAvX_PNG%2FZfpnq_GUADvxtxA8DK6xvfOK.png
14249,스타벅스 노원역점,서울 노원구 동일로 1413,1522-3232,카페,4.32,주차 불가,7222,226,7448,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
21704,CGV 영등포타임스퀘어점,서울 영등포구 영중로 15 타임스퀘어 4F,1544-1122,영화관,4.44,"상영관수 : 12관, 2788석",4842,2600,7442,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190909_31%2F1568029121469QDD5m_JPEG%2FNTQ2FVPVimOAvhpsv4omETX-.jpg
3420,마복림떡볶이,서울 중구 다산로35길 5,02-2232-8930,떡볶이,4.19,None,5274,2097,7371,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA4MDlfNSAg%2FMDAxNTk2OTU4OTMzOTg3.D2UCi6wMCARfDQHBzjDbQgERsvriZY6QGTwh7adz0XEg.NSo8MlauUGmPfKNXvBhiqn6R0HEyiMM0MJBSa-SzoOQg.JPEG.bmaster4375%2F1596958933120.jpg
25226,바비레드 강남본점,서울 강남구 봉은사로6길 39 바비레드,02-3452-1515,이탈리아음식,4.41,"매운 소갈비 파스타의 원조! 강남역 대표 맛집
매운 갈비 파스타의 원조! 한식과 이탈리안의 독특한 만남! 스파이시 퓨전 레스토랑 바비레드입니다.
BOBIRED is a unique Korean-Italian spicy fusion restaurant where the Original Spicy Rib Pasta was born.",2970,4325,7295,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191024_286%2F1571899011837k9tAA_JPEG%2FYOZ9CPDWZs0lke-YzizKW2YY.jpg
22929,바비레드 강남본점,서울 강남구 봉은사로6길 39 바비레드,02-3452-1515,이탈리아음식,4.41,"매운 소갈비 파스타의 원조! 강남역 대표 맛집
매운 갈비 파스타의 원조! 한식과 이탈리안의 독특한 만남! 스파이시 퓨전 레스토랑 바비레드입니다.
BOBIRED is a unique Korean-Italian spicy fusion restaurant where the Original Spicy Rib Pasta was born.",2968,4325,7293,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191024_286%2F1571899011837k9tAA_JPEG%2FYOZ9CPDWZs0lke-YzizKW2YY.jpg
13922,치즈룸 & 테이스팅룸 롯데월드몰,서울 송파구 올림픽로 300 롯데월드몰 5F,02-3213-4550,이탈리아음식,4.5,여러나라의 17가지 치즈로 요리하는 [치즈룸]과 위트있고 독특한 이태리 레스토랑 [테이스팅룸] 두 브랜드의 요리를 함께 즐길수 있는 콜라보 공간,5337,1934,7271,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210302_282%2F1614670125408Gu1jx_JPEG%2FQ7QrifpCfyeVk2jR0AXOCTon.jpg
15135,맥도날드 고척DT점,서울 구로구 경인로 393,070-7209-0558,햄버거,4.41,None,7117,70,7187,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220702_133%2F1656750195270X4CQ3_JPEG%2F1656749841528-0.jpg
5664,버거킹 쌍문점,서울 도봉구 도당로 6 쌍문동 LG트윈빌2,02-997-0233,햄버거,4.41,배달 오전 10시~오후 22시까지,6932,51,6983,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191003_13%2F1570112775663b0OMg_JPEG%2FaXb-DdUZXDXyDw_ZUGGAWEI_.jpg
6121,쉐이크쉑 청담점,서울 강남구 도산대로 327 (신사동) 1층,02-510-5217,햄버거,4.44,쉐이크쉑 청담점입니다. 네이버 스마트주문에서 간편하게 주문하세요!,4983,1994,6977,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210107_79%2F1610007007929J9sNS_JPEG%2F2019_0828_SSB5729_1_HR.jpg
7091,카카오프렌즈 홍대플래그십 스토어,서울 마포구 양화로 162 좋은사람들빌딩 1~3층,02-6010-0104,"문구,팬시용품",4.56,None,4883,2089,6972,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161128_33%2F1480315519915PJxGA_JPEG%2F177078557539.jpg
15509,맥도날드 서울번동DT점,서울 강북구 월계로 191,070-7209-0531,햄버거,4.3,None,6891,63,6954,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2F20150930_261%2Fmylovelily_1443542404062lWUTO_JPEG%2FSAM_2797.
